Taxa,qy,hlj,hb
A14001,1,0,0
A14002,1,0,0
A14003,1,0,0
A14004,1,0,0
A14005,1,0,0
A14006,1,0,0
A14007,1,0,0
A14008,1,0,0
A14009,1,0,0
A14010,1,0,0
A14011,1,0,0
A14012,1,0,0
A14013,1,0,0
A14014,1,0,0
A14015,1,0,0
A14016,1,0,0
A14017,1,0,0
A14018,1,0,0
A14019,1,0,0
A14020,1,0,0
A14021,1,0,0
A14022,1,0,0
B14001,1,0,0
B14002,1,0,0
B14003,1,0,0
B14004,1,0,0
B14005,1,0,0
B14006,1,0,0
B14007,1,0,0
B14008,1,0,0
B14009,1,0,0
B14010,1,0,0
B14011,1,0,0
B14012,1,0,0
B14013,1,0,0
B14014,1,0,0
B14015,1,0,0
B14016,1,0,0
B14017,1,0,0
B14018,1,0,0
B14019,1,0,0
B14020,1,0,0
B14021,1,0,0
B14022,1,0,0
C301,1,0,0
C302,1,0,0
C303,1,0,0
C304,1,0,0
C305,1,0,0
C306,1,0,0
C307,1,0,0
C308,1,0,0
C309,1,0,0
C310,1,0,0
C311,1,0,0
C312,1,0,0
C313,1,0,0
C314,1,0,0
C315,1,0,0
C316,1,0,0
C317,1,0,0
C318,1,0,0
C319,1,0,0
C320,1,0,0
C321,1,0,0
C322,1,0,0
D401,1,0,0
D402,1,0,0
D403,1,0,0
D404,1,0,0
D405,1,0,0
D406,1,0,0
D407,1,0,0
D408,1,0,0
D409,1,0,0
D410,1,0,0
D411,1,0,0
D412,1,0,0
D413,1,0,0
D414,1,0,0
D415,1,0,0
D416,1,0,0
D417,1,0,0
D418,1,0,0
D419,1,0,0
D420,1,0,0
D421,1,0,0
D422,1,0,0
D423,1,0,0
E001,1,0,0
E002,1,0,0
E003,1,0,0
E004,1,0,0
E005,1,0,0
E006,1,0,0
E007,1,0,0
E008,1,0,0
E009,1,0,0
E010,1,0,0
E011,1,0,0
E012,1,0,0
E013,1,0,0
E014,1,0,0
E015,1,0,0
E016,1,0,0
E017,1,0,0
E018,1,0,0
E019,1,0,0
E020,1,0,0
HS001,0,1,0
HS002,0,1,0
HS003,0,1,0
HS004,0,1,0
HS005,0,1,0
HS006,0,1,0
HS007,0,1,0
HS008,0,1,0
HS009,0,1,0
HS010,0,1,0
HS011,0,1,0
HS012,0,1,0
HS013,0,1,0
HS014,0,1,0
HS015,0,1,0
HS016,0,1,0
HS017,0,1,0
HS018,0,1,0
HS019,0,1,0
HS020,0,1,0
HS021,0,1,0
HS022,0,1,0
HS023,0,1,0
HS024,0,1,0
HS025,0,1,0
HS026,0,1,0
HS027,0,1,0
HS028,0,1,0
HS029,0,1,0
HS030,0,1,0
HS031,0,1,0
HS032,0,1,0
HS033,0,1,0
HS034,0,1,0
HS035,0,1,0
HS036,0,1,0
HS037,0,1,0
HS038,0,1,0
HS039,0,1,0
HS040,0,1,0
HS041,0,1,0
HS042,0,1,0
HS043,0,1,0
HS044,0,1,0
HS045,0,1,0
HS046,0,1,0
HS047,0,1,0
HS048,0,1,0
D00527437,0,0,1
D00574028,0,0,1
D00526120,0,0,1
D00527793,0,0,1
D00526121,0,0,1
D00572677,0,0,1
D00572810,0,0,1
D00549897,0,0,1
D00573148,0,0,1
D00564953,0,0,1
D00564307,0,0,1
D00622676,0,0,1
D00528088,0,0,1
D00548490,0,0,1
D00548985,0,0,1
D00612992,0,0,1
D00553128,0,0,1
D00608343,0,0,1
D00587370,0,0,1
D00542697,0,0,1
D00588570,0,0,1
D00592321,0,0,1
D00612855,0,0,1
D00592280,0,0,1
D00546580,0,0,1
D00606724,0,0,1
D00606817,0,0,1
D00587569,0,0,1
D00542793,0,0,1
D00552978,0,0,1
D00573564,0,0,1
D00525730,0,0,1
D00542557,0,0,1
D00611697,0,0,1
D00565514,0,0,1
D00565225,0,0,1
D00565868,0,0,1
