Taxa	LW	CW	DP
A14001	698	419.2	0.60 
A14002	680	415	0.61 
A14003	700	441.8	0.63 
A14004	725	441.2	0.61 
A14005	659	399.2	0.61 
A14006	676	416.8	0.62 
A14007	730	433.2	0.59 
A14008	667	405	0.61 
A14009	747	443.8	0.59 
A14010	689	432	0.63 
A14011	684	430.6	0.63 
A14012	680	406.8	0.60 
A14013	710	447.8	0.63 
A14014	631	382	0.61 
A14015	740	443.6	0.60 
A14016	708	431.8	0.61 
A14017	642	403.6	0.63 
A14018	727	438.2	0.60 
A14019	772	472.4	0.61 
A14020	684	429	0.63 
A14021	692	425.4	0.61 
A14022	700	420.4	0.60 
B14001	735	446.2	0.61 
B14002	722	441.8	0.61 
B14003	634	376.6	0.59 
B14004	703	436	0.62 
B14005	683	409	0.60 
B14006	723	445	0.62 
B14007	760	474.2	0.62 
B14008	721	443	0.61 
B14009	702	425.2	0.61 
B14010	709	434.6	0.61 
B14011	670	393.2	0.59 
B14012	676	411.6	0.61 
B14013	765	452.8	0.59 
B14014	720	429.6	0.60 
B14015	685	404.2	0.59 
B14016	766	463.6	0.61 
B14017	698	416	0.60 
B14018	713	434.2	0.61 
B14019	753	439.6	0.58 
B14020	807	470.2	0.58 
B14021	687	422.6	0.62 
B14022	673	398.6	0.59 
C301	692	422.2	0.61 
C302	674	413.6	0.61 
C303	681	424.6	0.62 
C304	657	390	0.59 
C305	646	407.2	0.63 
C306	675	416.4	0.62 
C307	663	398	0.60 
C308	664	399.8	0.60 
C309	677	419.8	0.62 
C310	717	444	0.62 
C311	693	414.4	0.60 
C312	702	428.2	0.61 
C313	688	407.8	0.59 
C314	690	430.2	0.62 
C315	701	420	0.60 
C316	734	452.6	0.62 
C317	660	383.2	0.58 
C318	695	425.2	0.61 
C319	702	433.6	0.62 
C320	682	417	0.61 
C321	655	400.2	0.61 
C322	688	412	0.60 
D401	617	377.4	0.61 
D402	720	448.2	0.62 
D403	684	436.4	0.64 
D404	701	433.8	0.62 
D405	660	398	0.60 
D406	659	410	0.62 
D407	650	410.6	0.63 
D408	617	372.8	0.60 
D409	674	430.4	0.64 
D410	643	405	0.63 
D411	659	406	0.62 
D412	629	392.2	0.62 
D413	668	411.8	0.62 
D414	627	381.6	0.61 
D415	665	426.6	0.64 
D416	652	406.4	0.62 
D417	700	437.8	0.63 
D418	621	376.4	0.61 
D419	634	384.2	0.61 
D420	615	387.2	0.63 
D421	640	378.8	0.59 
D422	609	375	0.62 
D423	653	405.2	0.62 
E001	744 	473.8	0.64 
E002	754 	458.2	0.61 
E003	684 	429.8	0.63 
E004	690 	431.4	0.63 
E005	730 	441.4	0.60 
E006	727 	447.4	0.62 
E007	779 	482.6	0.62 
E008	789 	486.2	0.62 
E009	741 	446.4	0.60 
E010	757 	485.6	0.64 
E011	764 	458.4	0.60 
E012	669 	404.8	0.61 
E013	794 	464.8	0.59 
E014	687 	428.4	0.62 
E015	685 	413.6	0.60 
E016	736 	482	0.65 
E017	737 	443.8	0.60 
E018	846 	518	0.61 
